job_title,company_name,company_location,company_size,industry_stats,job_qualifications,job_skills,job_skills_1,job_type,work_hours,company_email,job_desc
Data Scientist,Samsung Electronics,"Cikarang Barat, West Java, Indonesia","10,001+ employees","Computers and Electronics Manufacturing  10,001+ employees   136,780 on LinkedIn","Analytics, Data Science, English, Industrial Automation, Manufacturing Processes, Programming Languages, and Python (Programming Language)",3 school alumni work here,Bachelor's Degree,On-site,Contract,samsung_electronics_hrd@gmail.com,"Utilize advanced analytics and machine learning techniques to develop predictive models for process optimization and automation.Design and implement algorithms for real-time monitoring and control of manufacturing processes.Collaborate with other department to integrate data analytics solutions into existing systems and processes.Identify opportunities for automation and develop proof of concept projects to demonstrate feasibility and impact.Work Closely with IT teams to ensure seamless integration of data analytics solutions with manufacturing systems and databases.Conduct data mining and analysis to uncover insights that drive continuous improvement initiatives.Willing to learn internal system and programming language."
Analys Programmer,PT Usaha Gedung Mandiri,Jakarta Metropolitan Area,"1,001-5,000 employees","Facilities Services  1,001-5,000 employees   385 on LinkedIn","Computer Engineering, Computer Science, Databases, Git, JavaScript, Programming, Programming Languages, Python (Programming Language), SQL, SQL Database Administration, Software Development, Web Applications, and jQuery",1 school alum works here,1+ years of work experience with JavaScript,On-site,Full-time,pt_usaha_gedung_mandiri_hrd@gmail.com,Utilize advanced analytics and machine learning techniques to develop predictive models for process optimization and automation. Design and implement algorithms for real-time monitoring and control of manufacturing processes. Collaborate with other departments to integrate data analytics solutions into existing systems and processes. Identify opportunities for automation and develop proof of concept projects to demonstrate feasibility and impact. Work closely with IT teams to ensure seamless integration of data analytics solutions with manufacturing systems and databases. Conduct data mining and analysis to uncover insights that drive continuous improvement initiatives. Willing to learn internal system and programming language.
Data Scientist,Bank Maybank Indonesia,"Jakarta, Indonesia",1000+ employees,Banking 1000+ employees,C++ and Python (Programming Language),"Skills: C++, Python (Programming Language)",5+ years of work experience with C++,On-site,Full-time,bank_maybank_indonesia_hrd@gmail.com,"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers. Responsibilities include analyzing raw data by assessing quality, cleansing, and structuring it for downstream processing; designing accurate and scalable prediction algorithms; demonstrating strong presentation skills; collaborating with the engineering team to bring analytical prototypes to production; and generating actionable insights for business improvements."
Data Scientist - Experimentation,Traveloka,Jakarta Metropolitan Area,"1,001-5,000 employees","Software Development  1,001-5,000 employees   3,145 on LinkedIn","Analytics, Communication, Data Management, Data Science, Design of Experiments (DOE), Git, Interpersonal Communication, Natural Language Processing (NLP), Problem Solving, Technical Requirements

",3 school alumni work here,"Analytics, Communication, Data Management, Data Science, Design of Experiments (DOE), Git, Interpersonal Communication, Natural Language Processing (NLP), Problem Solving, and Technical Requirements",On-site,Full-time,traveloka_hrd@gmail.com,"We are looking for candidates with a degree from top universities in a quantitative discipline, including engineering, sciences, statistics, mathematics, economics, or related fields, with a minimum of three years of experience in a data science or analytics-related role. You should possess strong critical thinking and problem-solving skills, with a sound conceptual understanding of experimental design and statistical frameworks, whether frequentist or Bayesian. You are proactive, self-driven, and able to work independently while communicating complex technical ideas clearly to business stakeholders. Experience in managing end-to-end data projects or platforms is essential. Technical proficiency in SQL for data extraction and transformation, and strong command of Python or R, especially with statistical libraries like numpy, scipy, statsmodels, Stan or PyMC, is required. Familiarity with cloud infrastructure, version control using Git, Docker, and CI/CD workflows is also expected. Join us in shaping the future of travel through data and experimentation."
Research And Development Scientist Manager,Hormel Pronas Nusantara,"Batang, Central Java, Indonesia",2-10 employees,Food and Beverage Manufacturing  2-10 employees   5 on LinkedIn,"Cost-Benefit Analysis, Formulation, Meat, Product Evaluations, and Research and Development (R&D)","Skills: Meat, Research and Development (R&D), +3 more",Bachelor's Degree,On-site,Full-time,hormel_pronas_nusantara_hrd@gmail.com,"We are seeking an experienced and passionate R&D Specialist to join our team, focusing on the development of processed meat products. In this role, you will work closely with cross-functional teams including marketing, sales, and APAC R&D to identify and translate customer needs into innovative product opportunities. You will be responsible for implementing new product development plans, localizing technologies to suit market needs, and leading the formulation of products. Your work will include conducting cost analyses, organizing sensory evaluations, and analyzing product performance data to ensure quality and efficiency. Additionally, you will play a key role in delivering process training and ensuring that new products meet both consumer expectations and operational feasibility.

The ideal candidate holds a university degree (BSc) in food science, food engineering, or a related field, and brings over five years of hands-on R&D experience in processed meat products. You should have strong networking capabilities to stay ahead of trends in flavorings, ingredients, and food processing technologies. A genuine passion for cooking and exploring global cuisines is highly valued, as is the ability to communicate effectively and collaborate within a team environment. If you are a creative problem-solver with a drive for innovation in the food industry, we encourage you to apply."
GoTo Financial - Data Scientist Intern,GoTo Group,"Jakarta, Jakarta, Indonesia","10,001+ employees","Software Development  10,001+ employees   20,519 on LinkedIn","Analytical Solutions, Communication, Data Science, Machine Learning, Predictive Analytics, Problem Solving, Python (Programming Language), R (Programming Language), Statistics, Technical Documentation",3 school alumni work here,"Analytical Solutions, Communication, Data Science, Machine Learning, Predictive Analytics, Problem Solving, Python (Programming Language), R (Programming Language), Statistics, and Technical Documentation",On-site,Internship,goto_group_hrd@gmail.com,"We are looking for a data scientist intern to join our Data Science team at GoPay - you will create models which help grow the customer base and transactions in GoPay. You will work closely with the business, product and engineering stakeholders to identify and solve some of the most challenging business problems in the payments space. You will have the opportunity to work in a fast-paced environment in a highly cross-functional team and leverage our robust data infrastructure"
Data Scientist,Traveloka,Jakarta Metropolitan Area,"1,001-5,000 employees","Software Development  1,001-5,000 employees   3,145 on LinkedIn","Business Requirements, Communication, Data Management, Data Manipulation, Data Science, Interpersonal Communication, Scikit-Learn, Technical Specs, TensorFlow, XGBoost",3 school alumni work here,"Analytical Skills, Business Insights, Communication, Data Analytics, Marketing Analytics, Problem Solving, Product Analysis, Product Requirements, Project Management, and Web Technologies",On-site,Full-time,traveloka_hrd@gmail.com,"At Traveloka, our Data Science team plays a pivotal role in tackling complex challenges and driving optimization across a wide range of business functions. As a Data Scientist, you will have the opportunity to make meaningful, large-scale impact by enabling smarter decision-making across our diverse business lines. You will be working alongside some of the brightest talents in the industry, using data to shape the future of travel. This is your chance to be part of a forward-thinking organization that leverages data as a strategic asset in revolutionizing the travel experience for millions of users.

In this role, you will collaborate closely with multiple business units to deeply understand their objectives and challenges. You will translate those business needs into technical solutions by generating actionable insights and recommendations. Your responsibilities will include developing, implementing, and maintaining data-driven systems and models that support key strategic decisions. Additionally, you will be responsible for overseeing and managing multiple data science projects, ensuring timely delivery and alignment with business goals. If you’re driven by impact, passionate about data, and excited to solve real-world problems, we invite you to join our journey."
Data Science,PT United Tractors Tbk,"Cilincing, Jakarta, Indonesia","1,001-5,000 employees","Machinery Manufacturing  1,001-5,000 employees   3,810 on LinkedIn","Analytics, Artificial Intelligence (AI), Communication, Data Engineering, Data Science, Data Visualization, Natural Language Processing (NLP), Problem Solving, Statistics, Visualization",2 school alumni work here,"Analytics, Artificial Intelligence (AI), Communication, Data Engineering, Data Science, Data Visualization, Natural Language Processing (NLP), Problem Solving, Statistics, and Visualization",On-site,Full-time,pt_united_tractors_tbk_hrd@gmail.com,
Senior Data Scientist- User Centric Analytics,Grab,"Jakarta, Indonesia","5,001-10,000 employees","Software Development  5,001-10,000 employees   47,064 on LinkedIn","Apache Spark, Artificial Intelligence (AI), Computer Science, Data Science, Mathematics,Prediction, Python (Programming Language), Statistical Analysis, Statistical Modeling, TensorFlow",2 school alumni work here,"Communication, Data Engineering, Data Modeling, Data Pipelines, Data Science, Data Validation, Data Warehousing, Extract, Transform, Load (ETL), Real-time Data, and Scala",Hybrid,Full-time,grab_hrd@gmail.com,"As part of the User Centric Analytics (UCA) team, you will play a vital role in understanding, analyzing, and predicting the behavior of our users—passengers, drivers, and merchants. This behavioral insight is essential to crafting effective user engagement strategies, enhancing user experience, and supporting the company’s growth initiatives in the ride-hailing industry. Your expertise in machine learning and AI algorithms, coupled with strong programming skills, mathematical modeling, and statistical analysis, will enable the development of data-driven solutions that bridge the gap between advanced analytics and impactful business decisions.

In this role, you will focus on building and refining user-level prediction models, including but not limited to user lifetime value (LTV) prediction and user propensity modeling. These models will play a critical role in driving business strategies aimed at improving user engagement, increasing retention, and ultimately boosting long-term profitability. As a Data Scientist, your contributions will directly influence how the business interacts with its users, enabling more personalized and effective experiences. This is a unique opportunity to apply your technical skills in a fast-paced environment and help shape the future of mobility through data."
Data Analyst,ASTRO,"Jakarta, Indonesia",201-500 employees,"Technology, Information and Internet  201-500 employees   1,316 on LinkedIn","Attention to Detail, Business Analytics, Critical Thinking, Data Analysis, MySQL, Python (Programming Language), and Statistical Tools","Skills: Statistical Tools, Data Analysis, +5 more",Bachelor's Degree,On-site,Full-time,astro_hrd@gmail.com,"We are seeking a Data Analyst to support business goals through data-driven insights. You will analyze business needs, create routine monitoring tools, optimize data pipelines to reduce costs, and maintain clean, well-structured data systems. Responsibilities include extracting and transforming data, ensuring data quality, fixing coding issues, and preparing reports with trends and predictions. You will collaborate with cross-functional teams to identify improvements and develop data strategies.

Candidates should have a bachelor’s or master’s degree in a relevant field, 1–2 years of experience in data analysis, and proficiency in Python, SQL, and MySQL. Strong statistical, critical thinking, and problem-solving skills are essential, along with the ability to communicate insights clearly and manage time effectively. Experience in consulting and debugging is a plus."
Machine Learning Engineer (Product),Traveloka,Jakarta Metropolitan Area,"1,001-5,000 employees","Software Development  1,001-5,000 employees   3,145 on LinkedIn","Artificial Intelligence (AI), Business Requirements, Data Science, Interpersonal Communication, MLflow, Machine Learning, Pattern Recognition, Scikit-Learn, Technical SpecsTensorFlow",3 school alumni work here,"Artificial Intelligence (AI), Business Requirements, Data Science, Interpersonal Communication, MLflow, Machine Learning, Pattern Recognition, Scikit-Learn, Technical Specs, and TensorFlow",On-site,Full-time,traveloka_hrd@gmail.com,Our machine learning team is responsible for solving complex problems and optimizing various aspects of Traveloka’s business. You will get a wide range of exciting opportunities to bring impact by helping to make decisions at scale across various domains. Join us in revolutionizing the travel industry through data!
"Artificial Intelligence Engineer, 2 Hour Learning (Remote) - $100,000/year USD",Crossover,"Jakarta, Jakarta, Indonesia","5,001-10,000 employees","IT Services and IT Consulting  5,001-10,000 employees   2,665 on LinkedIn","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, Vue.js","Skills: Svelte, Flask, +8 more","Angular, Artificial Intelligence (AI), Back-End Web Development, Django, Flask, Front-End Development, Spring Boot, Spring Framework, Svelte, and Vue.js",Remote,Full-time,crossover_hrd@gmail.com,"We need bold innovators who thrive on leveraging the latest in generative AI to create real-world educational impact. If you’re excited about pushing the boundaries of what’s possible in AI-driven education and are ready to bring your expertise in full-stack development and AI, this is your chance to make a difference."
User Champion,RushOwl,Indonesia,11-50 employees,Urban Transit Services  11-50 employees   40 on LinkedIn,"Communication, Creative Problem Solving, Customer Interaction, Customer Satisfaction, Customer Support, Interpersonal Communication, Macros, and Performance Oriented","Skills: Performance Oriented, Customer Satisfaction, +6 more",Accept a background check,Remote,Full-time,rushowl_hrd@gmail.com,"We are looking for a dedicated and proactive User Champion to support our Singapore Operations and ensure the smooth delivery of RushOwl’s customer support services. In this role, you will work closely with the User Champion Lead to manage customer interactions across the full end-to-end process, ensuring a high level of customer satisfaction. With strong knowledge of our systems, processes, and policies, you will serve as the key point of contact for customers, handling bookings, operational issues, and inquiries with efficiency and professionalism.
As a core link between Sales, Documentation, and Operations, you will actively engage with customers to resolve issues promptly, improve operational flow, and enhance user experience. Your responsibilities also include continuous process improvement to boost efficiency and satisfaction. You will collaborate with both internal teams and external stakeholders to ensure seamless day-to-day operations and quick issue resolution.
This role is ideal for someone who thrives in a fast-paced environment, is customer-focused, and excels in communication and task management. You are driven by a desire to build trust with customers, resolve issues effectively, and contribute to a brand that users rely on and love. Strong leadership skills and a passion for service excellence are essential."
Senior Account Manager - Mining Sector,Esri Indonesia,"South Jakarta, Jakarta, Indonesia",1000+ employees,Information Technology 1000+ employees,"Account Management, Coal Mining, Enterprise Resource Planning (ERP), Enterprise Software, Geographic Information Systems (GIS), Mineral Exploration, Mining, Sales, Software Sales, Software as a Service (SaaS), Solution Selling","Skills: Account Management, Coal Mining, +9 more",2+ years of work experience with Data Engineering,On-site,Full-time,esri_indonesia_hrd@gmail.com,"We are looking for a seasoned Senior Account Manager with strong expertise in the mining industry and a solid background in selling software solutions. In this role, you will leverage your knowledge of Geographic Information Systems (GIS) and relationship-building skills to manage key mining accounts, drive revenue growth, and act as a trusted advisor to clients.
Your core responsibilities include leading a portfolio of mining clients, building and maintaining strong relationships with decision-makers, and developing strategic account plans to meet revenue targets. You will oversee the entire account management process, ensure high client satisfaction, and collaborate with technical teams to deliver successful project implementations. Additionally, you’ll contribute to broader sales strategies and provide ongoing support to address client needs and strengthen long-term partnerships.
This is an ideal opportunity for a sales professional who understands the mining sector and thrives in delivering tailored software solutions that drive client success."
Senior Data Scientist,Traveloka,Jakarta Metropolitan Area,"1,001-5,000 employees","Software Development  1,001-5,000 employees   3,145 on LinkedIn","Business Requirements, Data Management, Data Manipulation, Data Science, Interpersonal Communication, Machine Learning, SQL, Scikit-Learn, Technical Requirements, Technical Specs",3 school alumni work here,"Analytical Skills, Business Insights, Communication, Data Analytics, Marketing Analytics, Problem Solving, Product Analysis, Product Requirements, Project Management, and Web Technologies",On-site,Full-time,traveloka_hrd@gmail.com,"We are looking for a Data Scientist to join our team at Traveloka, where you will tackle complex problems and help optimize various aspects of our business. This role offers exciting opportunities to make an impact by assisting in decision-making across different business lines and collaborating with some of the brightest minds in the industry. As part of the team, you will play a crucial role in revolutionizing the travel industry through data.
Your main responsibilities will include collaborating with multiple product domains to understand challenges and goals related to ranking and recommendation systems. You will translate customer needs and business objectives into technical requirements and machine learning services. Additionally, you will develop, implement, and maintain data-driven solutions while overseeing multiple data science projects, ensuring that they are completed on time and align with business goals."
Full Stack Engineer (Django+Vue.JS),Quant Reports,"Denpasar, Bali, Indonesia",11-50 employees,Financial Services  11-50 employees   7 on LinkedIn,"Cascading Style Sheets (CSS), Django, Full-Stack Development, HTML, Programming, SASS, Software Development, Vue.js, Web Applications, and Web Development","Skills: Cascading Style Sheets (CSS), Web Applications, +8 more",3+ years of work experience with Django,Hybrid,Full-time,quant_reports_hrd@gmail.com,"Quant Reports, a leader in financial reporting and analytics within the asset management and finance sectors, is looking for a Full Stack Engineer to join their team. This position offers both part-time and full-time hybrid work options, providing flexibility for candidates.
The ideal candidate will have proficiency in Python, Django (including ORM and MVT structure), JavaScript, Vue.js, HTML, CSS, and Bootstrap. You should have a strong understanding of both front-end and back-end development and experience with object-oriented programming. Familiarity with Git and CI/CD practices is essential, as well as excellent communication and collaboration skills. The ability to thrive in a fast-paced, dynamic environment is also crucial. This role is perfect for someone looking to contribute to the development of innovative financial reporting tools while enjoying a flexible work arrangement."
Software Engineer,Match Made,"Jakarta, Indonesia",2-10 employees,Software Development  2-10 employees   27 on LinkedIn,"Computer Science, Programming, Programming Languages, Software Development, and Web Applications","Skills: Web Applications, Software Development, +3 more","Computer Science, Programming, Programming Languages, Software Development, and Web Applications",Hybrid,Full-time,match_made_hrd@gmail.com,"Match Made is seeking a full-time Software Engineer for a hybrid role that offers some remote flexibility. In this position, you will be responsible for back-end web development, software development, programming, and object-oriented programming.
The ideal candidate will have over 4 years of experience as a Software Engineer and be comfortable working with Golang, ReactJS, and any cloud platform. This role is well-suited for someone with strong technical expertise and the ability to thrive in a dynamic, hybrid work environment. If you are passionate about building robust software solutions and working in an agile setting, we encourage you to apply."
Manager - Artificial Intelligence & Data - ID,Deloitte,Jakarta Metropolitan Area,"10,001+ employees","Business Consulting and Services  10,001+ employees   437,408 on LinkedIn","Analytics, Big Four Accounting Firms, Data Ingestion, ETL Tools, Extract, Transform, Load (ETL), Google Cloud Dataflow, Problem Solving, Project Teams, Service Orientation (Social), Strategy to Execution",2 school alumni work here,"Analytics, Big Four Accounting Firms, Data Ingestion, ETL Tools, Extract, Transform, Load (ETL), Google Cloud Dataflow, Interpersonal Communication, Problem Solving, Project Teams, and Strategy to Execution",On-site,Full-time,deloitte_hrd@gmail.com,"We are seeking an experienced professional with a strong background in data engineering to join our team. The ideal candidate will have a good honors degree, preferably at the postgraduate level, in Computer Science, Software Engineering, Statistics, Mathematics, or related fields. You should bring a minimum of 8 years of relevant experience, ideally from a Big 4 or MNC consulting firm, with proven experience in the sales cycle and leading project teams.
Key technical expertise includes proficiency in Scala, Python, or R, as well as experience with relational and non-relational data stores and building data pipelines using Big Data technologies and ETL tools. You should have hands-on experience in cloud data engineering, particularly with Azure Data Factory, AWS Glue, Google DataProc, or Google DataFlow. Familiarity with Agile methodologies and tools like Git, Subversion, or Mercurial is also required, along with general knowledge of Linux/Unix and Shell scripting.
In addition to technical skills, you must possess exceptional problem-solving abilities, a client-focused mindset, and strong communication, presentation, and negotiation skills in English. As a consultant, you should be comfortable with travel and adapting to the consulting lifestyle. Leadership, teamwork, and business acumen are essential to delivering high-quality solutions and driving results."
"Data Scientist, Business Intelligence",Shopee,"Jakarta, Indonesia","5,001-10,000 employees","Software Development  5,001-10,000 employees   45,692 on LinkedIn","Business Process, Computer Science, Data Engineering, Data Models, Data Science, Data Visualization, Optimization, Pattern Recognition, Predictive Analytics, Statistical Data Analysis",11 school alumni work here,"Business Process, Computer Science, Data Engineering, Data Models, Data Science, Data Visualization, Optimization, Pattern Recognition, Predictive Analytics, and Statistical Data Analysis",On-site,Full-time,shopee_hrd@gmail.com,"We are looking for a skilled professional to prototype, develop, and deploy advanced analytics data models and machine learning solutions. In this role, you will collaborate closely with product and business teams to understand business processes and translate them into modeling requirements.
Your responsibilities will include researching industry trends, analyzing competition data, and studying changes in user demands. Using multi-dimensional analysis, you will diagnose business problems, identify risks, uncover opportunities, and provide actionable optimization strategies. This role requires a blend of technical expertise and business acumen to drive data-driven decision-making and continuous improvement."
Data Scientist,Kredivo Group,"Jakarta, Indonesia","1,001-5,000 employees","Financial Services  1,001-5,000 employees   1,617 on LinkedIn","Artificial Intelligence (AI), Data Science, Deep Learning, Econometrics, English, Machine Learning, MySQL, PostgreSQL, Python (Programming Language), and SQL","Skills: Data Science, Python (Programming Language), +8 more","Artificial Intelligence (AI), Data Science, Deep Learning, Econometrics, English, Machine Learning, MySQL, PostgreSQL, Python (Programming Language), and SQL",Hybrid,Full-time,kredivo_group_hrd@gmail.com,"As a Data Scientist at FinAccel, you will work on developing advanced machine learning models alongside Analysts and Machine Learning Engineers, taking full ownership from ideation to implementation. You will be responsible for prototyping models such as credit scoring and recommendation engines, and researching ways to enhance our models using our unique data set. Your contributions will help elevate Data Science capabilities at FinAccel, enabling continuous innovation and improvement in our machine learning solutions. We are looking for a candidate with a strong quantitative background, a results-oriented mindset, and the ability to bridge technical and business needs effectively."
Gojek - Senior Data Scientist,GoTo Group,"Jakarta, Jakarta, Indonesia","10,001+ employees","Software Development  10,001+ employees   20,519 on LinkedIn","Computer Science,Data Manipulation, Data Science, Machine Learning, Python (Programming Language), SQL, Statistical Analysis, Statistics, Technical Documentation, Visualization",3 school alumni work here,"Computer Science, Data Manipulation, Data Science, Machine Learning, Python (Programming Language), SQL, Statistical Analysis, Statistics, Technical Documentation, and Visualization",On-site,Full-time,goto_group_hrd@gmail.com,"If you’re a data scientist at heart, this role is for you! because you’ll be mining insights from the sea of data, building data products, and designing experiments with the ability to see the real-time impact of your contribution. You’ll get to work with a talented troop of business leads, product managers and fellow data folks, and spend a majority of your time diving deep into some of the most challenging analytical problems in the Gojek Marketplace - the brain that powers all of Gojek’s services - including Matchmaking, and Pricing streams."
Dyeing Manager,PRYM,Indonesia,"1,001-5,000 employees","Industrial Machinery Manufacturing  1,001-5,000 employees   1,044 on LinkedIn","Chemical Safety, Dyeing, Dyes, Energy Efficiency, Technical Leadership, and Technical Support","Skills: Energy Efficiency, Dyeing, +4 more",8+ years of work experience with Dyeing,Remote,Full-time,prym_hrd@gmail.com,"We are seeking a dedicated and dynamic individual to join our team as a Manager – Dye House. The ideal candidate will be a highly motivated professional with a passion for excellence in Dyeing & Finishing management. We are looking for someone with strong leadership skills, the ability to drive productivity, and a commitment to maintaining high-quality standards. If you are proactive, detail-oriented, and thrive in a fast-paced environment, we would love to hear from you."
